actual_reward_gnk,actual_rewarded_coins,address,compensation_base_units,compensation_gnk,confirmation_weight,effective_weight,epoch,exclusion_reason,expected_reward_base_units,expected_reward_gnk,fixed_epoch_reward,notes,reward_rate_base_units_per_weight,total_epoch_weight,weight
0.000000000,0,gonka100xav7dpl82gxrtg72yjhpz2zn6f24gv035ted,465163503915,465.163503915,0,0,247,failed_confirmation_poc,465163503915,465.163503915,287379121027086,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=465163503915; expected_reward_weight=1427; expected_reward_base_units=465163503915,325973023.06600922863326391441055167626281187471926,881604,1427
666.940805193,666940805193,gonka1043d00lu0v3fz53cut34twtcanalqg9u8vehp2,0,0.000000000,0,0,247,missed_requests,666940805193,666.940805193,287379121027086,chain_effective_reward_base_units=0; full_weight_reward_base_units=666940805193; expected_reward_weight=2046; expected_reward_base_units=666940805193,325973023.06600922863326391441055167626281187471926,881604,2046
0.000000000,0,gonka10g4ak0ku3lezt0q3kk346updcyyz83369pqtgx,806783232088,806.783232088,0,0,247,failed_confirmation_poc,806783232088,806.783232088,287379121027086,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=806783232088; expected_reward_weight=2475; expected_reward_base_units=806783232088,325973023.06600922863326391441055167626281187471926,881604,2475
8.149325576,8149325576,gonka10jjrlvkfkqupgudz0l603sq99y3wkt3urwjm0x,0,0.000000000,25,0,247,subgroup_voting_power_reduction,0,0.000000000,287379121027086,subgroup voting_power capped the confirmation weight; chain_effective_reward_base_units=0; full_weight_reward_base_units=8149325576; expected_reward_weight=0; expected_reward_base_units=0,325973023.06600922863326391441055167626281187471926,881604,25
1013.124155689,1013124155689,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,0,0.000000000,0,0,247,confirmation_weight_reduction,1013124155689,1013.124155689,287379121027086,chain_effective_reward_base_units=0; full_weight_reward_base_units=1013124155689; expected_reward_weight=3108; expected_reward_base_units=1013124155689,325973023.06600922863326391441055167626281187471926,881604,3108
223.291520800,223291520800,gonka10snluhflqhmwl5xrpuy9ugevypxdjjsft370fq,0,0.000000000,685,0,247,subgroup_voting_power_reduction,0,0.000000000,287379121027086,subgroup voting_power capped the confirmation weight; chain_effective_reward_base_units=0; full_weight_reward_base_units=223291520800; expected_reward_weight=0; expected_reward_base_units=0,325973023.06600922863326391441055167626281187471926,881604,685
137.234642710,137234642710,gonka10t67f5zxh7canhuznxg7cperec6286jjqh5pey,0,0.000000000,0,0,247,confirmation_weight_reduction,137234642710,137.234642710,287379121027086,chain_effective_reward_base_units=0; full_weight_reward_base_units=137234642710; expected_reward_weight=421; expected_reward_base_units=137234642710,325973023.06600922863326391441055167626281187471926,881604,421
0.000000000,0,gonka10ux22dq9a5dn5t4v370vzkww874yc6pmudxjen,890884272039,890.884272039,0,0,247,failed_confirmation_poc,890884272039,890.884272039,287379121027086,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=890884272039; expected_reward_weight=2733; expected_reward_base_units=890884272039,325973023.06600922863326391441055167626281187471926,881604,2733
0.000000000,0,gonka123fment8nj6mrekwv9rh5zmevxjd7t05c8azrd,689758916807,689.758916807,0,0,247,failed_confirmation_poc,689758916807,689.758916807,287379121027086,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=689758916807; expected_reward_weight=2116; expected_reward_base_units=689758916807,325973023.06600922863326391441055167626281187471926,881604,2116
1011.168317550,1011168317550,gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,0,0.000000000,0,0,247,missed_requests,1011168317550,1011.168317550,287379121027086,chain_effective_reward_base_units=0; full_weight_reward_base_units=1011168317550; expected_reward_weight=3102; expected_reward_base_units=1011168317550,325973023.06600922863326391441055167626281187471926,881604,3102
