address,actual_rewarded_coins,expected_reward_base_units,compensation_base_units
gonka100xav7dpl82gxrtg72yjhpz2zn6f24gv035ted,0,465163503915,465163503915
gonka1043d00lu0v3fz53cut34twtcanalqg9u8vehp2,666940805193,1636813093046,969872287853
gonka10g4ak0ku3lezt0q3kk346updcyyz83369pqtgx,0,806783232088,806783232088
gonka10jjrlvkfkqupgudz0l603sq99y3wkt3urwjm0x,8149325576,149599096581,149599096581
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,33081378884984,34121544415577,1040165530593
gonka10snluhflqhmwl5xrpuy9ugevypxdjjsft370fq,223291520800,525437542802,525437542802
gonka10t67f5zxh7canhuznxg7cperec6286jjqh5pey,137234642710,278132225843,140897583133
gonka10ux22dq9a5dn5t4v370vzkww874yc6pmudxjen,0,890884272039,890884272039
gonka123fment8nj6mrekwv9rh5zmevxjd7t05c8azrd,0,689758916807,689758916807
gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,1732010906649,4054572603926,2430879234237
gonka125xgn4z89quhrjhv6qfgn83wqwlaykxs8upjrt,0,483743966229,483743966229
gonka129ks6ra4ddy8ppsfk0gr8yu24sqk3nanmm34cs,0,732461382829,732461382829
gonka12av9up884t9lcsf70rs0l7jfmkmc8k9sxfuknt,37180808983932,87515706411789,87515706411789
gonka12fazh3etpdx947ldwen4wudnds7wu4kjp5vd76,790810553958,1602728693346,811918139388
gonka12gc47yq8m7rnsa3aucq8mlzm7men8jaac7qkkz,0,2069805851711,2069805851711
gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,35404944417560,32028573627045,1583006100292
gonka12tfc6ccmadjqv6yaa3axxsuhy6zv6tupu78p8u,2570308707308,3394873497838,916316115955
gonka1369ax8kr4ma8zu708jr3x2r902lfs8tcguyxl8,0,554480112235,554480112235
gonka13jelpte0qx5f0up3pzmmgnnqj5877rwfs08n7q,0,797004041396,797004041396
gonka145666cll76ptcyy9ceymtalr8gnvv73ne99p32,761798954905,1869406199988,1107607245083
gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,720842589099,1134602716929,522077664790
gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,30541159510155,27162930896217,0
gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm,15068096429798,13411985475622,850677005394
gonka14zg378dzun4p2zhyuaq59y2q0e340wzahgz97q,0,712903001445,712903001445
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,69278125949383,58556328872481,0
gonka15rvksn9gxgpszyr8270cd4wj2x3d460r394uv4,537855488058,1090066918392,552211430334
gonka15sptlamre9vq4m5t7pa7je5r2pc34kmlwvj0jz,0,172229679607,172229679607
gonka163ug8zucqeag9v5ey4au34jqt7vejkmxsg74eu,1328732234015,5818832801196,4598418104141
gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,28184702989581,22870951917774,262501633924
gonka168yvlgt9jg86frg2z90cc8w4pz9hnd7f8lshux,0,985024106256,985024106256
gonka16k03ze5ynkprsd4n6e5uzhthvu9jjk553rauqy,49228568676985,49924180033183,695611356198
gonka16q0zaetd6hq6d8zj48ur0v967xrrwh566kcazc,804175447903,735826287119,735826287119
gonka175dvjafzhfxwgvrj83cm9ekmgh2a4u7nqv4azu,4126037937157,709099602368,0
gonka17ef5hl0588tmjm9ypw7t2kge78wrkcpvyspc0p,751041845144,1522129806047,771087960903
gonka17fcahf38xh8ghzyyrc55tarz9nd0vw6xd29nsk,553828166189,1122438602636,568610436447
gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f,332877388065662,299986151662597,279452451109
gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,62175364100343,56830442149404,1876180168760
gonka17tlh09e32xpv2uj433ytjnwwd8fh24jclpzm5s,626846123355,1270423444890,643577321535
gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,2513968906038,3420772313907,1099048585561
gonka187tn9y92ur6tu0zf69u94hwl0q77m47y0k36hv,33938866439361,27426867742713,0
gonka188c86f9mrlt4nlcg89f82nnfm9jzq9gtjafj50,11149581280949,23740238390560,23740238390560
gonka188qynuf5zs5966vzlrf2q2tj7h7laa995vrxr3,0,799285852557,799285852557
gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,3186772901760,4984327553174,1902473991136
gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,700878180326,2179319389914,1581661450691
gonka19dh0tamdjnhtccfdpmsnty3gxfpp0wkdusl0xr,1622041762776,0,0
gonka19f9hkpmjaldncsfly4j63sy932y8hughn4l3d8,5027939398461,4293414462408,0
gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel,19041461678247,21084335932783,3854163239677
gonka1amlmhjym02shahjv8ldmupg4cx0qc66q6f85rj,2576786186175,2095829576489,0
gonka1c6y9p4w87equy52va4us3qzycz9w28ua9693gl,0,0,0
gonka1ccdm8j6sjyhq4qask049dwgaczs7f3pxte6zmp,5156214864831,5804557120670,711516061145
gonka1cckj93kp9kegry64scpn4ew9965g3qrswyshl9,584143657334,1183878738036,599735080702
gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,49602545755613,69239072987464,20163420113840
gonka1d7ghexkrnm00fh695zcd00xgfgwxe2vvamcsdt,0,1806188771282,1806188771282
gonka1d7p03cu2y2yt3vytq9wlfm6tlz0lfhlgv9h82p,1534460043256,1725604526569,209840343527
gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp,1334160013060,2098592646647,801063781434
gonka1dpt9zx2dqcky6yjjwrd8xz2w7lq6vffy9mhvgs,830905235795,2038946124580,1208040888785
gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,252218641323573,248020734358023,0
gonka1dzdmx5ljrwkelrmgd7suv2q43epn293qacpgqn,4762465866994,16650963620680,16650963620680
gonka1e38cgywjkf4hejnf9utmpguq3qug0s5rd45kqm,10105163715,0,0
gonka1eazh84v0e60s9m7exxp3nsadcfgvnsthgypjvl,303480884474,615062000620,311581116146
gonka1elw9xd79mpsrt7jqwkweg6yv02nvda49xhcej2,0,825363694403,825363694403
gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,2609348757132,3917255794209,1416649348691
gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk,229898414457384,228252387380438,30976049179407
gonka1fc9tzt83dgrqswlgay4668cuqjrk7zsqks2vm2,1244403735582,1199114284851,688423583150
gonka1fkrsesmn2hdj30fhwyam6h4f2e77un36xalhvl,9509853826313,7508002924233,0
gonka1fp8zl07qccdzuekns2q55jgmcag40kjrm8z0z9,722030246091,1463332257115,741302011024
gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,0,1957561745592,1957561745592
gonka1ge9amk4ymld27d35akj3ky9uph4gyz6rdpepjj,799285852557,1961673710352,1162387857795
gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,929932371494,1013603495145,142236277510
gonka1gyydhl9lp0udz3409ps0c0lk0y4ft8qcyv8tfq,547634678750,1109886316908,562251638158
gonka1h2m79scgaq6ultrwge03wjk0ys4whgcejphmql,894756318982,1087738297732,474959170278
gonka1h3s37p0l23mg6ak9h9nmayh6r9f2vm6umj3qet,1998931408014,1998931408014,0
gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz,53481103346260,48549118583027,609105941338
gonka1hytku6t3cfd7wppyrjvu357jjqpsgsw6wcprcy,0,827971478587,827971478587
gonka1jcelp2ad2x0jf2vnyhkhd6wquug0zpd09sxxw4,10105163715,0,0
gonka1jltjehxsnum94nt8c00ts7khmpy4lafv6gryzk,38828318402657,32657649076018,0
gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax,5487326233809,4980637104205,0
gonka1k6p754pyhxud2399knyccgjpjvdafj2u9xlgyf,322713292835,329318816635,329318816635
gonka1kdmstpljv33v8lz457lmj8f9g995l7ygwm460s,10105163715,0,0
gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,5517484807636,8614047281247,3096562473611
gonka1l0enytn32rklk95dxrdt3v39hktxdw79trvgj5,10105163715,0,0
gonka1l0qv64xdu3dk2zzm5vk97j0drcmkus95u50gqk,10105163715,192771990225,192771990225
gonka1l6pp6p5hgaa69rj0eazn73f7gkawue94fq5v9g,10105163715,0,0
gonka1l7p83akwkcxtksnwve23x5wp47zammznm4qus8,0,511451673190,511451673190
gonka1llgg3kvg9sc6xz09jtkcrucrppxgn78xe4xlv0,779401498150,1912839759881,1133438261731
gonka1lr9mj6dgkv0h76c8y8w0l3esztyg9v2q8d6d8d,6130587008082,6425528965978,806228688288
gonka1lswsj2x7u4606wqpunmm07skgf76r3dyz4v0d8,824385775333,2023017667339,1198631892006
gonka1m27e6qup7q8jmvnrn29kahd7vlx6r4l84z4thz,732461382829,889089066340,889089066340
gonka1mdy7nlecw4xaqdxmeh3qlqzakg9ftge9szfqgg,720842589099,1655312868332,1042787816193
gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,720842589099,612525052139,0
gonka1myu058axjs62mc3e7na9krwvqpfl9z3gtcw9es,55335715889671,45597576345563,0
gonka1nkzdygk3g2p2usnueuqxyep3462350hgzxs86s,10105163715,558904902217,558904902217
gonka1p2lhgng7tcqju7emk989s5fpdr7k2c3ek6h26m,1530679929714,1721731935281,209840343527
gonka1p60lruhxmwcsa9taa28cp4k4f6kv2kvyu5h5ep,343249593288,616394556339,273144963051
gonka1pllyukkeymx3hfd9mts3pryr9y6efs9eshty87,18549594986569,15634445109071,560578270188
gonka1psgzz288a434dv6863ldd73xma70zw7387muj2,534595757828,1083460452220,548864694392
gonka1pvkv59e72vju2h7s9j3ex62c5xneqey350vpwn,1614427038906,3503388820331,2119318256914
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,241030474095372,301178738599821,75557987223848
gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,41323955270549,38979110225030,0
gonka1ql9asemklpkpr2d4mh33xw5gj0g5tm0v98c5q3,534595757828,1083460452220,548864694392
gonka1qnj39ysxpzknvrr5dw9rdl7cx5q7dpkwerryrs,89649904318,15080934933,0
