actual_reward_gnk,actual_rewarded_coins,address,compensation_base_units,compensation_gnk,confirmation_weight,effective_weight,epoch,exclusion_reason,expected_reward_base_units,expected_reward_gnk,fixed_epoch_reward,notes,reward_rate_base_units_per_weight,total_epoch_weight,weight
2895.157959290,2895157959290,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,0,0.000000000,7991,7991,250,,2895157959290,2895.157959290,286969897420690,chain_effective_reward_base_units=2895157959290; full_weight_reward_base_units=2895157959290; expected_reward_weight=7991; expected_reward_base_units=2895157959290,362302335.03817198667294554921074193918994840122059,792073,7991
0.000000000,0,gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,497803408342,497.803408342,0,0,250,failed_confirmation_poc,497803408342,497.803408342,286969897420690,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=497803408342; expected_reward_weight=1374; expected_reward_base_units=497803408342,362302335.03817198667294554921074193918994840122059,792073,1374
0.000000000,0,gonka12av9up884t9lcsf70rs0l7jfmkmc8k9sxfuknt,326796706204,326.796706204,902,0,250,consecutive_failures,326796706204,326.796706204,286969897420690,participant excluded from distribution; subgroup voting_power capped the confirmation weight; chain_effective_reward_base_units=0; full_weight_reward_base_units=328245915544; expected_reward_weight=902; expected_reward_base_units=326796706204,362302335.03817198667294554921074193918994840122059,792073,906
3837.868635059,3837868635059,gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,0,0.000000000,10593,10593,250,confirmation_weight_reduction,3837868635059,3837.868635059,286969897420690,chain_effective_reward_base_units=3837868635059; full_weight_reward_base_units=3846563891100; expected_reward_weight=10593; expected_reward_base_units=3837868635059,362302335.03817198667294554921074193918994840122059,792073,10617
0.000000000,0,gonka12tfc6ccmadjqv6yaa3axxsuhy6zv6tupu78p8u,726053879416,726.053879416,0,0,250,failed_confirmation_poc,726053879416,726.053879416,286969897420690,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=726053879416; expected_reward_weight=2004; expected_reward_base_units=726053879416,362302335.03817198667294554921074193918994840122059,792073,2004
0.000000000,0,gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,522077664790,522.077664790,0,0,250,failed_confirmation_poc,522077664790,522.077664790,286969897420690,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=522077664790; expected_reward_weight=1441; expected_reward_base_units=522077664790,362302335.03817198667294554921074193918994840122059,792073,1441
2924.504448428,2924504448428,gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,0,0.000000000,8072,8072,250,confirmation_weight_reduction,2924504448428,2924.504448428,286969897420690,chain_effective_reward_base_units=2924504448428; full_weight_reward_base_units=4916442686467; expected_reward_weight=8072; expected_reward_base_units=2924504448428,362302335.03817198667294554921074193918994840122059,792073,13570
1998.821982405,1998821982405,gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm,0,0.000000000,5517,5517,250,,1998821982405,1998.821982405,286969897420690,chain_effective_reward_base_units=1998821982405; full_weight_reward_base_units=1998821982405; expected_reward_weight=5517; expected_reward_base_units=1998821982405,362302335.03817198667294554921074193918994840122059,792073,5517
8113.760793179,8113760793179,gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,0,0.000000000,22395,22395,250,confirmation_weight_reduction,8113760793179,8113.760793179,286969897420690,chain_effective_reward_base_units=8113760793179; full_weight_reward_base_units=8128252886581; expected_reward_weight=22395; expected_reward_base_units=8113760793179,362302335.03817198667294554921074193918994840122059,792073,22435
0.000000000,0,gonka15sptlamre9vq4m5t7pa7je5r2pc34kmlwvj0jz,23911954112,23.911954112,0,0,250,failed_confirmation_poc,23911954112,23.911954112,286969897420690,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=23911954112; expected_reward_weight=66; expected_reward_base_units=23911954112,362302335.03817198667294554921074193918994840122059,792073,66
